Trial,Assigned_TTT_old,Assigned_TTT,Species,Tissue,W.crab_W.O.crab,Type,Planned_Starting_FW_g,Post_Trial_Dryweight_g
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,1.5 +/- 0.05,0.35
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,1.5 +/- 0.05,0.33
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,1.5 +/- 0.05,0.3
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,1.5 +/- 0.05,0.32
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,1.5 +/- 0.05,0.32
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,1.5 +/- 0.05,0.28
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,1.5 +/- 0.05,0.29
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,1.5 +/- 0.05,0.25
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,1.5 +/- 0.05,0.24
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,1.5 +/- 0.05,0.31
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,1.5 +/- 0.05,0.26
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,1.5 +/- 0.05,0.36
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,1.5 +/- 0.05,0.23
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,1.5 +/- 0.05,0.15
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,1.5 +/- 0.05,0.12
Summer 2017,Pickleweed and Ulva,trial (iii),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,1.5 +/- 0.05,0.28
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,3 +/- 0.05,0.33
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,3 +/- 0.05,0.34
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,3 +/- 0.05,0.29
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,3 +/- 0.05,0.38
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,3 +/- 0.05,0.4
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,3 +/- 0.05,0.33
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,3 +/- 0.05,0.37
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,3 +/- 0.05,0.37
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,3 +/- 0.05,0.25
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,3 +/- 0.05,0.16
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,3 +/- 0.05,0.09
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,3 +/- 0.05,0.2
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,3 +/- 0.05,0.23
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,3 +/- 0.05,0.31
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,3 +/- 0.05,0.33
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,3 +/- 0.05,0.18
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,3 +/- 0.05,0.15
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,3 +/- 0.05,0.21
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,3 +/- 0.05,0.27
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,3 +/- 0.05,0.24
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,With Crab,Treatment,3 +/- 0.05,0.12
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,1.5 +/- 0.05,0.24
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,1.5 +/- 0.05,0.4
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,1.5 +/- 0.05,0.35
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,1.5 +/- 0.05,0.33
Summer 2017,Pickleweed Roots,trial (i),Salicornia pacifica,Pickleweed Roots,Without Crab,Control,1.5 +/- 0.05,0.3
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,Without Crab,Control,3 +/- 0.05,0.26
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,Without Crab,Control,3 +/- 0.05,0.3
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,Without Crab,Control,3 +/- 0.05,0.34
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,Without Crab,Control,3 +/- 0.05,0.33
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,Without Crab,Control,3 +/- 0.05,0.32
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,Without Crab,Control,3 +/- 0.05,0.34
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,Without Crab,Control,3 +/- 0.05,0.34
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,Without Crab,Control,3 +/- 0.05,0.33
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,Without Crab,Control,3 +/- 0.05,0.35
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,Without Crab,Control,3 +/- 0.05,0.36
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,Without Crab,Control,1.5 +/- 0.05,0.39
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,Without Crab,Control,1.5 +/- 0.05,0.28
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,With Crab,Treatment,3 +/- 0.05,0.03
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,With Crab,Treatment,3 +/- 0.05,0
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,With Crab,Treatment,3 +/- 0.05,0.04
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,With Crab,Treatment,3 +/- 0.05,0.07
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,With Crab,Treatment,3 +/- 0.05,0.23
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,With Crab,Treatment,3 +/- 0.05,0.28
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,With Crab,Treatment,3 +/- 0.05,0.07
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,With Crab,Treatment,3 +/- 0.05,0.06
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,With Crab,Treatment,3 +/- 0.05,0.05
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,With Crab,Treatment,3 +/- 0.05,0.19
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,With Crab,Treatment,3 +/- 0.05,0.04
Summer 2017,Ulva,trial (ii),Ulva lactuca,Algae,With Crab,Treatment,3 +/- 0.05,0.35
